ID,Age,Sex,FinalWeight,AgeOfYoungestChild,WorkHoursPerWeek,LaborForceStatus,EmploymentType,CurrentPostSecondaryStudent,HighSchoolOrCollege,PartnerEmployment,PartnerEmploymentType,NumberOfHouseholdChildren,WeeklyEarnings,Holiday,ElderCareTime,SecondaryChildCare,DiaryDayOfWeek,Sleeping,Sleeplessness,PersonalActivities,Housecleaning,Laundry,hvac_repair,FinancialManagement,HousePlanning,social_social,social_events_1,social_events_2,TvAndMovies,Radio,Music,Games,Computer,ArtsAndCrafts,Reading,Writing,Museums,Movies,Casinos,Relaxing,Aerobics,Baseball,Basketball,Biking,Billiards,Boating,Bowling,Climbing,Dancing,Equestrian,Fishing,Football,Golf,Hiking,Hockey,Hunting,MartialArts,RaquetSports,Rollerblading,Running,SnowSports,Soccer,Softball,Cardio,CarRacing,Volleyball,Walking,WaterSports,Weightlifting,WorkingOut,Yoga,WatchingBaseball,WatchingBasketball,WatchingEquestrian,WatchingFishing,WatchingFootball,WatchingHiking,WatchingRaquetSports,WatchingRunning,WatchingSoftball,SelfCare,Cooking,HomeMaintenance,Lawn,AnimalCare,VehicleCare,ChildCare,ChildPlay,ChildEducation,ChildHealth,AdultCare,Work,TakingClass,Homework,Shopping,RelgiousActivities,Volunteering,Telephone,Traveling
20200101202107,56,Male,6653751.863596,NA,060,Employed,Full Time,NA,NA,NA,NA,0,2153.84,FALSE,-1,0,Monday,375,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0
20200111191904,30,Male,9377074.677286,1,040,Employed,Full Time,FALSE,NA,Employed,Full Time,1,1000,FALSE,-1,30,Tuesday,480,0,0,0,0,0,0,150,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,85,0,0,0,575,0,0,0,0,0,0,10
20200111191962,48,Female,2872874.768121,NA,060,Employed,Full Time,FALSE,NA,Employed,Hours Vary,0,NA,FALSE,770,0,Saturday,630,0,0,0,0,0,0,0,60,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,0,0,20,0,0,0,0,0,0,0,0,0,125,0,0,0,88
20200112190642,31,Male,2537063.579166,NA,062,Employed,Full Time,FALSE,NA,NA,NA,0,NA,FALSE,-1,0,Saturday,570,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,410,0,0,10,0,0,135,120
20200112191757,54,Male,2817914.393762,NA,-1,Not In Labor Force,NA,NA,NA,NA,NA,0,NA,FALSE,-1,0,Sunday,650,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,25,175,0,0,95,0,0,0,0,0,0,0,0,0,15,0,0,0,80
20200112192061,49,Female,7501095.930924,NA,-1,Not In Labor Force,NA,FALSE,NA,NA,NA,0,NA,FALSE,-1,0,Saturday,988,30,0,90,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200201200308,17,Male,7097444.022853,17,-1,Unemployed,NA,TRUE,High School,NA,NA,1,NA,FALSE,-1,0,Saturday,600,0,0,0,0,0,0,0,0,0,0,0,0,0,240,330,0,120,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200201200593,36,Female,8037937.356545,12,-1,Not In Labor Force,NA,FALSE,NA,Employed,Part Time,1,NA,FALSE,-1,298,Saturday,330,0,0,30,100,0,0,0,180,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,77,0,0,0,0,10,60,0,0,0,0,0,0,385,0,0,0,120
20200201200670,43,Male,4089731.162106,NA,-1,Not In Labor Force,NA,FALSE,NA,NA,NA,0,NA,FALSE,-1,0,Sunday,870,0,0,60,0,0,0,0,0,0,0,60,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200201201016,39,Female,9764078.597102,3,040,Employed,Full Time,FALSE,NA,Employed,Full Time,3,1134.61,FALSE,-1,753,Friday,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,0,0,0,0,52,20,0,0,0,508,0,0,0,0,0,0,130
